Designator,Mid X,Mid Y,Rotation,Layer
BT1,139.435532,23.006326,270.0,top
C1,86.935532,69.006326,270.0,top
C10,24.585532,32.756326,180.0,top
C11,24.585532,29.501326,180.0,top
C12,16.373032,54.506326,0.0,top
C13,13.085532,59.506326,270.0,top
C14,23.123032,54.506326,0.0,top
C15,121.585532,22.306326,0.0,top
C16,121.585532,20.046326,0.0,top
C17,114.335532,30.806326,0.0,top
C18,114.335532,33.056326,0.0,top
C19,113.185532,40.256326,0.0,top
C2,84.685532,69.006326,270.0,top
C20,113.185532,38.006326,0.0,top
C21,113.185532,35.756326,0.0,top
C22,81.935532,38.026326,180.0,top
C23,81.935532,40.256326,180.0,top
C24,125.685532,42.006326,90.0,top
C25,120.435532,38.756326,180.0,top
C26,132.260532,42.358826,270.0,top
C27,121.115532,63.256326,180.0,top
C28,13.555532,11.056326,270.0,top
C29,23.085532,11.016326,90.0,top
C3,16.335532,44.756326,0.0,top
C30,25.935532,69.506326,0.0,bottom
C31,6.935532,5.506326,270.0,bottom
C32,6.935532,23.006326,270.0,bottom
C33,7.005532,40.506326,270.0,bottom
C34,6.975532,57.756326,270.0,bottom
C35,36.185532,69.756326,0.0,bottom
C36,45.935532,69.756326,0.0,bottom
C37,55.935532,69.756326,0.0,bottom
C38,65.935532,69.756326,0.0,bottom
C39,85.935532,69.756326,0.0,bottom
C4,16.373032,42.006326,0.0,top
C40,75.935532,69.506326,0.0,bottom
C41,95.935532,69.756326,0.0,bottom
C42,105.935532,69.756326,0.0,bottom
C43,115.935532,69.756326,0.0,bottom
C44,139.435532,10.006326,90.0,bottom
C45,139.385532,44.256326,90.0,bottom
C46,139.485532,62.256326,90.0,bottom
C47,139.435532,27.506326,90.0,bottom
C5,16.373032,39.281326,0.0,top
C6,10.873032,35.531326,270.0,top
C7,17.873032,27.531326,0.0,top
C8,17.873032,25.281326,0.0,top
C9,14.585532,24.281326,270.0,top
D1,24.335532,18.531326,270.0,top
D10,135.185532,42.318826,270.0,top
D11,20.835532,41.781326,270.0,top
D12,10.585532,17.066326,180.0,top
D13,143.185532,7.856326,90.0,bottom
D14,143.185532,25.256326,90.0,bottom
D15,143.185532,42.616326,90.0,bottom
D16,143.135532,60.006326,90.0,bottom
D17,118.095532,73.486326,0.0,bottom
D18,108.095532,73.496326,0.0,bottom
D19,98.125532,73.486326,0.0,bottom
D2,19.873032,32.781326,90.0,top
D20,88.135532,73.476326,0.0,bottom
D21,78.155532,73.486326,0.0,bottom
D22,68.145532,73.466326,0.0,bottom
D23,58.185532,73.456326,0.0,bottom
D24,48.175532,73.456326,0.0,bottom
D25,38.185532,73.426326,0.0,bottom
D26,28.185532,73.436326,0.0,bottom
D27,3.185532,60.006326,270.0,bottom
D28,3.185532,42.756326,270.0,bottom
D29,3.185532,25.256326,270.0,bottom
D3,25.910532,40.006326,0.0,top
